time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown,sex,ethnicity_major,ethnicity_minor,free_school_meals,sen_provision,sen_status,sen_primary_need,disadvantage,first_language,admission_type,religious_denomination,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Boys,Asian,Total,Total,Total,Total,Total,Total,Total,Total,Total,2082,31488,1644469.07,52.2,31080,98.7,18527,58.8,23544,74.8,16261,51.6,7588,24.1,10052,31.9,149920.9,4.76,26980,11989.692,0.44,0.43,0.46
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Boys,Black,Total,Total,Total,Total,Total,Total,Total,Total,Total,1841,15425,688779.38,44.7,15190,98.5,6722,43.6,9915,64.3,6646,43.1,1970,12.8,3138,20.3,61403.29,3.98,12486,1855.432,0.15,0.12,0.17
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Boys,Mixed,Total,Total,Total,Total,Total,Total,Total,Total,Total,2342,15490,710128.79,45.8,15101,97.5,7193,46.4,10047,64.9,6485,41.9,2770,17.9,3883,25.1,63925.34,4.13,14175,-1194.998,-0.08,-0.11,-0.06
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Boys,Other,Total,Total,Total,Total,Total,Total,Total,Total,Total,1491,5813,261269.63,44.9,5556,95.6,2672,46,3643,62.7,2874,49.4,1167,20.1,1653,28.4,24266.27,4.17,4284,2001.66,0.47,0.42,0.51
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Free school meals,Boys,Total,Total,FSM,Total,Total,Total,Total,Total,Total,Total,2500,58835,2016959,34.3,56145,95.4,15064,25.6,25459,43.3,15948,27.1,3861,6.6,6372,10.8,176478.01,3,54747,-34289.262,-0.63,-0.64,-0.61
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Free school meals,Boys,Total,Total,FSM all other,Total,Total,Total,Total,Total,Total,Total,2505,193299,9362445.32,48.4,190778,98.7,98771,51.1,137229,71,81091,42,35242,18.2,49747,25.7,840052.86,4.35,180211,11640.134,0.06,0.06,0.07
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN provision,Boys,Total,Total,Total,No SEN,Total,Total,Total,Total,Total,Total,2504,207566,10017416.17,48.3,205044,98.8,105397,50.8,147668,71.1,89401,43.1,37312,18,53199,25.6,900407.21,4.34,192296,-856.381,0,-0.01,0
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN provision,Boys,Total,Total,Total,SEN State EHC,Total,Total,Total,Total,Total,Total,2242,8682,216170.75,24.9,7490,86.3,1120,12.9,2048,23.6,849,9.8,249,2.9,370,4.3,18118.23,2.09,8051,-4746.438,-0.59,-0.62,-0.56
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN provision,Boys,Total,Total,Total,SEN Supp,Total,Total,Total,Total,Total,Total,2491,35878,1145628.9,31.9,34382,95.8,7316,20.4,12969,36.1,6786,18.9,1542,4.3,2549,7.1,97988.09,2.73,34606,-17041.667,-0.49,-0.51,-0.48
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Boys,Total,Total,Total,Total,Any SEN,Total,Total,Total,Total,Total,2501,44560,1361799.65,30.6,41872,94,8436,18.9,15017,33.7,7635,17.1,1791,4,2919,6.6,116106.32,2.61,42657,-21788.105,-0.51,-0.52,-0.5
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Boys,Total,Total,Total,Total,No identified SEN,Total,Total,Total,Total,Total,2504,207566,10017416.17,48.3,205044,98.8,105397,50.8,147668,71.1,89401,43.1,37312,18,53199,25.6,900407.21,4.34,192296,-856.381,0,-0.01,0
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Disadvantage,Boys,Total,Total,Total,Total,Total,Total,Disadvantaged,Total,Total,Total,2502,64270,2205440.25,34.3,61204,95.2,16507,25.7,27922,43.4,17479,27.2,4270,6.6,7035,10.9,193018.03,3,59696,-37028.993,-0.62,-0.63,-0.61
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Disadvantage,Boys,Total,Total,Total,Total,Total,Total,Disadvantaged all other,Total,Total,Total,2505,187864,9173964.07,48.8,185719,98.9,97328,51.8,134766,71.7,79560,42.3,34833,18.5,49084,26.1,823512.84,4.38,175262,14379.865,0.08,0.08,0.09
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Boys,Total,Total,Total,Total,Total,Total,Total,English,Total,Total,2505,203736,9111606.89,44.7,199688,98,90658,44.5,130908,64.3,73337,36,29491,14.5,42570,20.9,807954.95,3.97,196938,-37929.601,-0.19,-0.2,-0.19
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Boys,Total,Total,Total,Total,Total,Total,Total,Other than English,Total,Total,2390,46990,2207253.43,47,45878,97.6,22586,48.1,30909,65.8,23167,49.3,9417,20,13257,28.2,203155.36,4.32,36850,15387.659,0.42,0.4,0.43
