col_name,col_type,label,indicator_grouping,indicator_unit,indicator_dp,filter_hint,filter_grouping_column
establishment_type_group,Filter,School type,,,,,
sex,Filter,Sex,,,,,
ethnicity_major,Filter,Major ethnic group,,,,,
ethnicity_minor,Filter,Minor ethnic group,,,,,
free_school_meals,Filter,Free school meals status,,,,,
sen_provision,Filter,Special educational needs - provision,,,,,
sen_status,Filter,Special educational needs - status,,,,,
sen_primary_need,Filter,Special educational needs - primary need,,,,,
disadvantage,Filter,Disadvantaged status,,,,,
first_language,Filter,First language,,,,,
admission_type,Filter,School admissions policy,,,,,
religious_denomination,Filter,School religious character,,,,,
t_schools,Indicator,Number of schools,Total,,0,,
t_pupils,Indicator,Number of pupils at the end of KS4,Total,,0,,
t_att8,Indicator,Sum of Attainment 8 scores,Total,,2,,
avg_att8,Indicator,Average Attainment 8 score,Average,,1,,
t_entbasics,Indicator,Number of pupils entering English and maths GCSEs,Total,,0,,
pt_entbasics,Indicator,Percentage of pupils entering English and maths GCSEs,Percentage,%,1,,
t_l2basics_95,Indicator,Number of pupils achieving grades 5 or above in English and maths GCSEs,Total,,0,,
pt_l2basics_95,Indicator,Percentage of pupils achieving grades 5 or above in English and maths GCSEs,Percentage,%,1,,
t_l2basics_94,Indicator,Number of pupils achieving grades 4 or above in English and maths GCSEs,Total,,0,,
pt_l2basics_94,Indicator,Percentage of pupils achieving grades 4 or above in English and maths GCSEs,Percentage,%,1,,
t_ebacc_e_ptq_ee,Indicator,Number of pupils entering the EBacc,Total,,0,,
pt_ebacc_e_ptq_ee,Indicator,Percentage of pupils entering the EBacc,Percentage,%,1,,
t_ebacc_95,Indicator,Number of pupils achieving grades 5 or above in the EBacc,Total,,0,,
pt_ebacc_95,Indicator,Percentage of pupils achieving grades 5 or above in the EBacc,Percentage,%,1,,
t_ebacc_94,Indicator,Number of pupils achieving grades 4 or above in the EBacc,Total,,0,,
pt_ebacc_94,Indicator,Percentage of pupils achieving grades 4 or above in the EBacc,Percentage,%,1,,
t_ebaccaps,Indicator,Sum of EBacc APS scores,Total,,2,,
avg_ebaccaps,Indicator,Average EBacc APS score,Average,,2,,
t_inp8calc,Indicator,Number of pupils included in Progress 8 measure,Total,,0,,
t_p8score,Indicator,Sum of Progress 8 scores,Total,,3,,
avg_p8score,Indicator,Average Progress 8 score,Average,,2,,
p8score_ci_low,Indicator,Progress 8 lower 95% confidence interval,Lower bound,,2,,
p8score_ci_upp,Indicator,Progress 8 upper 95% confidence interval,Upper bound,,2,,
