time_period,time_identifier,geographic_level,country_code,country_name,establishment_type_group,sex,prior_attainment,admission_type,religious_denomination,avg_att8,pt_l2basics_95,pt_ebacc_e_ptq_ee,avg_ebaccaps
202324,Academic year,National,E92000001,England,All state-funded,Total,Total,Total,Total,45.9,45.9,40.4,4.07
202223,Academic year,National,E92000001,England,All state-funded,Total,Total,Total,Total,46.3,45.3,39.3,4.05
202122,Academic year,National,E92000001,England,All state-funded,Total,Total,Total,Total,48.8,49.8,38.7,4.27
202021,Academic year,National,E92000001,England,All state-funded,Total,Total,Total,Total,50.9,51.9,38.7,4.45
201920,Academic year,National,E92000001,England,All state-funded,Total,Total,Total,Total,50.2,49.9,39.8,4.39
201819,Academic year,National,E92000001,England,All state-funded,Total,Total,Total,Total,46.7,43.2,40,4.07
201718,Academic year,National,E92000001,England,All state-funded,Total,Total,Total,Total,46.5,43.3,38.4,4.04
201617,Academic year,National,E92000001,England,All state-funded,Total,Total,Total,Total,46.3,42.6,38.2,z
201516,Academic year,National,E92000001,England,All state-funded,Total,Total,Total,Total,49.9,z,39.6,z
201415,Academic year,National,E92000001,England,All state-funded,Total,Total,Total,Total,48.4,z,38.6,z
