time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,programme,breakdown,group_name,total_ects_count,cumulative_ects,count_swfc_ects,breakdown_percent_ect,breakdown_percent_swfc_ect,programme_percent_ect,programme_percent_swfc_ect
202122,Academic year,National,England,E92000001,,,,,,Overall,Overall,Overall,28887,28887,25132,100,100,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,Overall,Overall,27901,56788,23503,100,100,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,Overall,Overall,24953,81741,19937,100,100,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,Overall,Overall,22536,104277,16792,100,100,100,100
202122,Academic year,National,England,E92000001,,,,,,Provider-led,Overall,Overall,27481,27481,23862,100,100,95.1,94.9
202223,Academic year,National,England,E92000001,,,,,,Provider-led,Overall,Overall,26306,53787,22176,100,100,94.3,94.4
202324,Academic year,National,England,E92000001,,,,,,Provider-led,Overall,Overall,23740,77527,19065,100,100,95.1,95.6
202425,Academic year,National,England,E92000001,,,,,,Provider-led,Overall,Overall,21283,98810,15898,100,100,94.4,94.7
202122,Academic year,National,England,E92000001,,,,,,School-led,Overall,Overall,1120,1120,1048,100,100,3.9,4.2
202223,Academic year,National,England,E92000001,,,,,,School-led,Overall,Overall,1190,2310,1015,100,100,4.3,4.3
202324,Academic year,National,England,E92000001,,,,,,School-led,Overall,Overall,1087,3397,803,100,100,4.4,4
202425,Academic year,National,England,E92000001,,,,,,School-led,Overall,Overall,960,4357,760,100,100,4.3,4.5
202122,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,Overall,Overall,286,286,222,100,100,1,0.9
202223,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,Overall,Overall,405,691,312,100,100,1.5,1.3
202324,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,Overall,Overall,126,817,69,100,100,0.5,0.3
202425,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,Overall,Overall,293,1110,134,100,100,1.3,0.8
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase,Other,1294,1294,892,4.5,3.5,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase,Other,1388,2682,925,5,3.9,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase,Other,1350,4032,824,5.4,4.1,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase,Other,1134,5166,639,5,3.8,100,100
