time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,breakdown,group_name,total_mentors_trained_count_provider_led,breakdown_percent_mentor
202122,Academic year,National,England,E92000001,,,,,,Overall,Overall,25888,100
202223,Academic year,National,England,E92000001,,,,,,Overall,Overall,24714,100
202324,Academic year,National,England,E92000001,,,,,,Overall,Overall,19133,100
202425,Academic year,National,England,E92000001,,,,,,Overall,Overall,15593,100
202122,Academic year,National,England,E92000001,,,,,,Age group,25 to 29,4236,17.1
202223,Academic year,National,England,E92000001,,,,,,Age group,25 to 29,3655,15.5
202324,Academic year,National,England,E92000001,,,,,,Age group,25 to 29,2732,15
202425,Academic year,National,England,E92000001,,,,,,Age group,25 to 29,2229,15
202122,Academic year,National,England,E92000001,,,,,,Age group,30 to 39,10257,41.3
202223,Academic year,National,England,E92000001,,,,,,Age group,30 to 39,9842,41.7
202324,Academic year,National,England,E92000001,,,,,,Age group,30 to 39,7526,41.3
202425,Academic year,National,England,E92000001,,,,,,Age group,30 to 39,6035,40.6
202122,Academic year,National,England,E92000001,,,,,,Age group,40 to 49,6809,27.4
202223,Academic year,National,England,E92000001,,,,,,Age group,40 to 49,6651,28.2
202324,Academic year,National,England,E92000001,,,,,,Age group,40 to 49,5224,28.6
202425,Academic year,National,England,E92000001,,,,,,Age group,40 to 49,4324,29.1
202122,Academic year,National,England,E92000001,,,,,,Age group,50 to 59,3000,12.1
202223,Academic year,National,England,E92000001,,,,,,Age group,50 to 59,3039,12.9
202324,Academic year,National,England,E92000001,,,,,,Age group,50 to 59,2416,13.2
202425,Academic year,National,England,E92000001,,,,,,Age group,50 to 59,1997,13.4
202122,Academic year,National,England,E92000001,,,,,,Age group,60 and over,248,1
202223,Academic year,National,England,E92000001,,,,,,Age group,60 and over,239,1
202324,Academic year,National,England,E92000001,,,,,,Age group,60 and over,198,1.1
202425,Academic year,National,England,E92000001,,,,,,Age group,60 and over,181,1.2
202122,Academic year,National,England,E92000001,,,,,,Age group,Under 25,274,1.1
202223,Academic year,National,England,E92000001,,,,,,Age group,Under 25,156,0.7
202324,Academic year,National,England,E92000001,,,,,,Age group,Under 25,138,0.8
202425,Academic year,National,England,E92000001,,,,,,Age group,Under 25,106,0.7
202122,Academic year,National,England,E92000001,,,,,,Age group,Unknown,1064,z
202223,Academic year,National,England,E92000001,,,,,,Age group,Unknown,1132,z
202324,Academic year,National,England,E92000001,,,,,,Age group,Unknown,899,z
202425,Academic year,National,England,E92000001,,,,,,Age group,Unknown,721,z
202122,Academic year,National,England,E92000001,,,,,,Gender,Female,18728,75.6
202223,Academic year,National,England,E92000001,,,,,,Gender,Female,17757,75.3
202324,Academic year,National,England,E92000001,,,,,,Gender,Female,13745,75.4
202425,Academic year,National,England,E92000001,,,,,,Gender,Female,11215,75.4
202122,Academic year,National,England,E92000001,,,,,,Gender,Male,6048,24.4
202223,Academic year,National,England,E92000001,,,,,,Gender,Male,5814,24.7
202324,Academic year,National,England,E92000001,,,,,,Gender,Male,4475,24.6
202425,Academic year,National,England,E92000001,,,,,,Gender,Male,3650,24.6
202122,Academic year,National,England,E92000001,,,,,,Gender,Unknown,1112,z
202223,Academic year,National,England,E92000001,,,,,,Gender,Unknown,1143,z
202324,Academic year,National,England,E92000001,,,,,,Gender,Unknown,913,z
202425,Academic year,National,England,E92000001,,,,,,Gender,Unknown,728,z
202122,Academic year,National,England,E92000001,,,,,,Ethnicity,Any Other ethnic group,146,0.6
202223,Academic year,National,England,E92000001,,,,,,Ethnicity,Any Other ethnic group,156,0.7
202324,Academic year,National,England,E92000001,,,,,,Ethnicity,Any Other ethnic group,127,0.8
202425,Academic year,National,England,E92000001,,,,,,Ethnicity,Any Other ethnic group,112,0.9
202122,Academic year,National,England,E92000001,,,,,,Ethnicity,Any other Mixed background,366,1.6
202223,Academic year,National,England,E92000001,,,,,,Ethnicity,Any other Mixed background,355,1.6
202324,Academic year,National,England,E92000001,,,,,,Ethnicity,Any other Mixed background,282,1.7
202425,Academic year,National,England,E92000001,,,,,,Ethnicity,Any other Mixed background,257,2
202122,Academic year,National,England,E92000001,,,,,,Ethnicity,Asian or Asian British,1183,5.2
202223,Academic year,National,England,E92000001,,,,,,Ethnicity,Asian or Asian British,1162,5.4
202324,Academic year,National,England,E92000001,,,,,,Ethnicity,Asian or Asian British,917,5.6
202425,Academic year,National,England,E92000001,,,,,,Ethnicity,Asian or Asian British,766,5.9
202122,Academic year,National,England,E92000001,,,,,,Ethnicity,Black or Black British,501,2.2
202223,Academic year,National,England,E92000001,,,,,,Ethnicity,Black or Black British,518,2.4
202324,Academic year,National,England,E92000001,,,,,,Ethnicity,Black or Black British,403,2.5
202425,Academic year,National,England,E92000001,,,,,,Ethnicity,Black or Black British,366,2.8
202122,Academic year,National,England,E92000001,,,,,,Ethnicity,Unknown,3244,z
202223,Academic year,National,England,E92000001,,,,,,Ethnicity,Unknown,3164,z
202324,Academic year,National,England,E92000001,,,,,,Ethnicity,Unknown,2701,z
202425,Academic year,National,England,E92000001,,,,,,Ethnicity,Unknown,2557,z
202122,Academic year,National,England,E92000001,,,,,,Ethnicity,White,20448,90.3
202223,Academic year,National,England,E92000001,,,,,,Ethnicity,White,19359,89.8
202324,Academic year,National,England,E92000001,,,,,,Ethnicity,White,14703,89.5
202425,Academic year,National,England,E92000001,,,,,,Ethnicity,White,11535,88.5
202122,Academic year,National,England,E92000001,,,,,,Working pattern,Full time,21031,84.7
202223,Academic year,National,England,E92000001,,,,,,Working pattern,Full time,19625,83.2
202324,Academic year,National,England,E92000001,,,,,,Working pattern,Full time,14976,82.1
202425,Academic year,National,England,E92000001,,,,,,Working pattern,Full time,12157,81.7
202122,Academic year,National,England,E92000001,,,,,,Working pattern,Part time,3793,15.3
202223,Academic year,National,England,E92000001,,,,,,Working pattern,Part time,3957,16.8
202324,Academic year,National,England,E92000001,,,,,,Working pattern,Part time,3258,17.9
202425,Academic year,National,England,E92000001,,,,,,Working pattern,Part time,2715,18.3
202122,Academic year,National,England,E92000001,,,,,,Working pattern,Unknown,1064,z
202223,Academic year,National,England,E92000001,,,,,,Working pattern,Unknown,1132,z
202324,Academic year,National,England,E92000001,,,,,,Working pattern,Unknown,899,z
